Designator,Manufacturer Part Number or Seeed SKU,QTY,Link
"BT1","SMTU2032-LF","1",""
"C1,C2","","2",""
"C1,C2,C3","","3",""
"C10,C11,C12,C13,C14,C15,C17,C18,C30,C31,C35,C37,C38,C41,C43,C9","","16",""
"C16","","1",""
"C19,C21,C22,C4","","4",""
"C20,C32,C39,C40,C7","","5",""
"C23,C24,C36,C42,C5,C6,C8","","7",""
"C25,C26,C3","","3",""
"C27","","1",""
"C28","","1",""
"C29","","1",""
"C44,C45","","2",""
"D1","SMBJ33A","1",""
"D2,D3,D4,D5,D6,D7,D8","USBLC6-2SC6","7","https://www.st.com/content/ccc/resource/technical/document/datasheet/06/1d/48/9c/6c/20/4a/b2/CD00050750.pdf/files/CD00050750.pdf/jcr:content/translations/en.CD00050750.pdf"
"D9","SM712","1",""
"D10,D16","1N4148WS-13-F","2",""
"D11","SS54B","1","https://media.digikey.com/pdf/Data%20Sheets/NextGen%20Components%20PDFs/SMBSS540000S54.pdf"
"D12,D13","APT2012SURCK","2","https://www.kingbrightusa.com/images/catalog/SPEC/APT2012SURCK.pdf"
"D14","ESDA6V1BC6","1","http://www.st.com/content/ccc/resource/technical/document/datasheet/21/07/21/e3/a8/df/42/a2/CD00001906.pdf/files/CD00001906.pdf/jcr:content/translations/en.CD00001906.pdf"
"D15","SS54","1",""
"F1","SMDC300F/24-2","1",""
"IC1","MPU-6500","1","https://invensense.tdk.com/wp-content/uploads/2020/06/PS-MPU-6500A-01-v1.3.pdf"
"J1,J10,J16,J8,J9","B2B-XH-A(LF)(SN)","5",""
"J2,J3,J4","BM04B-GHS-TBT(LF)(SN)","3",""
"J5,J6,J7","BM05B-GHS-TBT(LF)(SN)(N)","3",""
"J11,J12","U.FL-R-SMT-1","2","https://media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/UFL%20Series.pdf"
"J13","USB4215-03-A","1",""
"J14","7111S2015X02LF","1",""
"J15","DM3AT-SF-PEJM5","1","https://www.mouser.com/datasheet/2/185/DM3AT_SF_PEJM5_CL0609_0031_0_00_2DDrawing_00009471-1614303.pdf"
"L1","","1",""
"L2,L3","","2",""
"Q1,Q2,Q3","AO3400A","3","https://media.digikey.com/pdf/Data%20Sheets/Alpha%20&%20Omega/AO3400A_ds.pdf"
"Q4,Q6,Q7","MMBT3904LT3G","3",""
"Q5","AO3401A","1",""
"R1,R2,R3","","3",""
"R1,R2,R3,R4,R5","","5",""
"R10,R9","","2",""
"R11,R12,R7,R8","","4",""
"R13,R14,R15,R17,R22,R23,R36,R37,R4,R42,R47,R49,R5,R6","","14",""
"R16,R29,R30,R40,R41","","5",""
"R18,R19,R20,R21","","4",""
"R24","","1",""
"R25,R26","","2",""
"R27,R28","","2",""
"R31,R32,R33,R34,R35,R50","","6",""
"R38,R39","","2",""
"R43","","1",""
"R44","","1",""
"R45","","1",""
"R46","","1",""
"R48","","1",""
"SW1,SW2","1571563-8","2","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308111-1_SWITCHES_CORE_PROGRAM_CATALOG&DocType=CS&DocLang=English"
"U1","ESP32-S3-WROOM-1-N16R8","1",""
"U2","E22-900M22S","1",""
"U3","SIM7600G-H R2","1",""
"U4","FDC1004DSCJ","1",""
"U6","DS3231S#T&R","1",""
"U7","MAX3485ESA+","1",""
"U8","CP2102N-A02-GQFN24","1",""
"U9","TXU0202DTTR","1",""
"U10","MP2315SGJ-P","1","https://www.mouser.com/datasheet/2/277/MP2315S-2945733.pdf"
"U11","TPS54331D","1",""
"U12","","1",""
"U13","AP2127K-1.8TRG1","1",""
"U14","AP2152SG-13","1",""
